node,stability,mode_cluster
crude,0.3475,3
years.13,0.35,3
unrealistic,0.2825,1
bombard,0.31,9
diffract,0.31,9
cypre,0.3725,5
kathi,0.3725,5
indian,0.5125,6
shivakumar,0.5125,6
nagaraju,0.5125,6
microscope,0.31,9
defied,0.31,9
pp.180,0.5175,6
affinity,0.3275,1
bordal,0.4125,5
popularly,0.4075,5
pp.1151,0.5075,6
saalu,0.5075,6
l.c,0.5075,6
osinubi,0.5075,6
a.a,0.5075,6
fable,0.5075,6
lagos,0.5075,6
@anaveciana,0.275,5
twitter,0.275,5
competition,0.3425,0
anavecianasuarez.com,0.275,5
palm,0.275,5
herald,0.275,5
production.17,0.4575,0
testable,0.455,0
elegant,0.2225,9
intricate,0.2225,9
renowned,0.275,5
suarez,0.275,5
ana,0.275,5
veciana,0.275,5
bullough,0.395,1
byron,0.395,1
misinformation,0.21,7
vegetarian,0.2025,7
/memory,0.3775,4
cognitive/,0.3775,4
physical/,0.3775,4
eager,0.3525,4
kill,0.35,4
gasoline,0.245,1
pour,0.24,1
bug,0.36,0
smartwatch,0.36,0
reminder,0.36,0
presbyterian,0.34,5
shadyside,0.34,5
e236,0.4375,0
tosterone,0.4375,0
axillary,0.4375,0
breakthrough,0.335,5
groundbreake,0.335,5
carswell,0.395,1
hormonal/,0.4475,0
intrinsic,0.4475,0
karolina,0.3725,5
majorek,0.3725,5
katarzyna,0.3725,5
handing,0.3725,5
przemyslaw,0.3725,5
porebski,0.3725,5
sandya,0.3725,5
beeram,0.3725,5
kyungah,0.3725,5
suh,0.3725,5
ashley,0.3725,5
mindy,0.395,1
insurer,0.37,5
renowne,0.37,5
maryland,0.365,5
headquarter,0.37,5
woolfork,0.3725,5
davisfor,0.2975,6
josh,0.2975,6
reputation,0.2975,6
ivan,0.3725,5
changer,0.275,1
refute,0.3025,2
discontinuing,0.3475,2
months).5,0.3525,2
diminution,0.455,0
"pulsatility.18,19",0.455,0
shabalin,0.3725,5
bettie,0.3975,1
lauren,0.395,1
coralville,0.3425,5
i-80,0.3425,5
forth,0.405,1
northwest,0.155,1
pacific,0.155,1
premier,0.155,1
destination,0.155,1
meno,0.405,1
dribble,0.4625,0
emptying,0.4625,0
trim,0.3775,4
waistline,0.3775,4
bam,0.405,1
football,0.405,1
wham,0.405,1
retrospectively,0.405,1
ocean,0.4075,1
punching,0.4075,1
hocking,0.4075,1
bedtime,0.3125,0
sedative,0.3125,0
gm117325,0.3725,5
r01,0.3725,5
gm117080,0.3725,5
gm118619,0.3725,5
outnumber,0.3675,1
vastly,0.37,1
iatrogenic,0.4475,0
kallman,0.4475,0
hhsn272201200026c,0.3725,5
nos,0.3725,5
hhsn272201700060c,0.3725,5
gasp,0.3875,0
snort,0.3875,0
louder,0.3875,0
saliva,0.275,2
spit,0.275,2
aud,0.4475,0
females,0.4475,0
shady,0.415,7
tactic,0.415,7
catheterization,0.2625,3
unblock,0.265,3
playlist,0.405,1
song,0.405,1
duca,0.5225,6
https://my.clevelandclinic.org/health/diagnostics/24215-testosterone-test,0.5225,6
condorelli,0.5225,6
calogero,0.525,6
vignera,0.5225,6
hardness,0.2975,3
inventory,0.2975,3
"score.13,20",0.2975,3
intimidate,0.35,1
movement,0.3375,1
brisk,0.355,1
jcm8050732,0.525,6
fade,0.28,3
roller,0.2875,3
coaster,0.2875,3
standardized,0.3325,2
"td.6,9,25",0.3325,2
academic/,0.3325,2
bath,0.3,4
breathwork,0.3,4
mindfulness,0.3,4
treadmill,0.355,1
abdoman,0.33,3
timer,0.33,3
basson,0.5225,6
wierman,0.5225,6
reappraisal,0.5225,6
arlt,0.5225,6
pubmed.ncbi.nlm.nih.gov/25279570/.,0.52,6
pmc6571549,0.525,6
https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6571549/,0.525,6
ferrucci,0.525,6
maggio,0.525,6
bandinelli,0.525,6
lauretani,0.525,6
acclimate,0.4425,0
transient,0.4425,0
chemaitilly,0.5225,6
garibaldi,0.5225,6
pubmed.ncbi.nlm.nih.gov/29562364/.,0.5225,6
https://www.cdc.gov/labstandards/hs_standardization.html,0.34,3
spectrometry.26,0.3325,3
ble,0.525,6
valenti,0.525,6
ershler,0.525,6
homa,0.3575,5
warren,0.3575,5
calibration,0.34,3
testosterone.27,0.34,3
guralnik,0.525,6
longo,0.525,6
j.beem.2010.11.004,0.525,6
pmc3073592,0.525,6
auxiliary,0.345,3
system(s,0.345,3
illustrative,0.34,3
apr23.doi,0.525,6
jun,0.525,6
pmc4168024,0.525,6
nihmsid,0.525,6
nihms627664,0.525,6
prasanth,0.525,6
surampudi,0.525,6
"md,1",0.525,6
dependant,0.3025,2
"td.5,6",0.3475,3
donohoue,0.5225,6
hypofunction,0.5225,6
1.publishe,0.525,6
bolus,0.3075,0
shoot,0.3075,0
impactful,0.3425,3
structural/,0.3425,3
lambert,0.5225,6
swj,0.5225,6
milman,0.5225,6
bartke,0.5225,6
men5,0.3425,3
relie,0.3425,3
aleksic,0.5225,6
maximizing,0.32,3
tmt,0.32,3
pract,0.525,6
"md,2",0.525,6
andre,0.525,6
wittert,0.525,6
araujo,0.525,6
pmc4650468,0.525,6
gladly,0.275,4
toll,0.285,4
asap,0.2875,4
havoc,0.285,4
wreak,0.285,4
potentwavetm,0.36,4
shottm,0.36,4
arch,0.525,6
intern,0.525,6
archinte.166.13.1380,0.525,6
crisp,0.6775,7
instant,0.6775,7
pmc2645631,0.525,6
682x.143317,0.525,6
potentshottm,0.36,4
wavetm,0.36,4
pshot,0.36,4
reuptake,0.435,0
ssris,0.435,0
ejaculatory,0.435,0
lacking,0.435,0
https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2645631/,0.525,6
androl,0.525,6
spearhead,0.3775,4
wood,0.3775,4
compliment,0.425,0
e238,0.445,0
"conditions.5,7",0.4225,0
coward,0.525,6
collateral,0.4475,0
scarring,0.4475,0
addiction,0.4475,0
buff,0.3075,4
steep,0.3075,4
carson,0.525,6
feb;9(2):249,0.5175,6
laksham,0.5175,6
ronde,0.515,6
culley,0.525,6
versa,0.235,4
vice,0.235,4
https://medlineplus.gov/ency/patientinstructions/000722.htm,0.36,5
https://www.upmc.com/health-library/article?hwid=abo6506&locale=en-us,0.36,5
jame,0.525,6
mcbride,0.525,6
blemish,0.32,4
dull,0.32,4
wrinkle,0.32,4
months.77,0.375,4
upwards,0.375,4
burlington,0.49,6
https://www.endocrine.org/patient-engagement/endocrine-library/hormones-and-endocrine-function/reproductive-hormones,0.49,6
corporation,0.49,6
america(r,0.49,6
holding,0.49,6
pmc4074000,0.525,6
negativity,0.2225,3
positivity,0.2225,3
ajpregu.00360.2012,0.525,6
r958,0.525,6
christina,0.525,6
https://www.labcorp.com/tests/004226/testosterone-total,0.49,6
r951,0.525,6
comp,0.525,6
nurture,0.2225,3
icd9,0.2975,2
justify,0.2975,2
cpt,0.2975,2
necessity,0.2975,2
regul,0.525,6
integr,0.525,6
c1995,0.4775,6
tgrp,0.4775,6
interpretive,0.48,6
juncos,0.525,6
physiol,0.525,6
mds,0.39,0
pas,0.3875,0
reckelhoff,0.525,6
and/,0.3425,3
rationalize,0.3425,3
"treatment.7,27,31",0.3425,3
calculation,0.3425,3
luis,0.525,6
"md‡†,3",0.525,6
jane,0.525,6
ruisheng,0.525,6
jeuveau,0.315,4
microneedle,0.315,4
carbon,0.46,0
dioxide,0.46,0
liu,0.525,6
maranon,0.525,6
therapie,0.3375,4
treatments.regenerative,0.33,4
rodrigo,0.525,6
https://www.mayomedicallaboratories.com/test-catalog/clinical+and+interpretive/8508,0.48,6
chandrashekar,0.525,6
addressing,0.315,7
coaching,0.3075,7
ruiz,0.525,6
kiran,0.525,6
leadership,0.3025,4
transparent,0.2775,2
engine,0.405,1
tank,0.405,1
gas,0.405,1
junk,0.6775,7
refine,0.6775,7
kinetic,0.3625,3
therapy.75,0.365,3
actuator,0.33,3
tans,0.33,3
quarter,0.405,1
screened,0.405,1
predisposed,0.4525,0
sensitise,0.4525,0
lopez,0.525,6
prolotherapie,0.31,4
prolozone,0.3125,4
arnaldo,0.525,6
may;43(2):185,0.525,6
e239,0.305,2
withnosymptom,0.355,3
andrea,0.525,6
soljancic,0.525,6
accordance,0.34,3
recommendation).75,0.35,3
12nmol,0.27,3
stringent,0.345,2
https://www.auanet.org/guidelines-and-quality/guidelines/testosterone-deficiency-guideline,0.48,6
linthicum,0.4775,6
testing.com,0.48,6
onecare,0.48,6
j.ucl.2016.01.004,0.525,6
antibiotic,0.41,0
azelaic,0.41,0
reperfusion,0.525,6
ischemia,0.525,6
pmc3081396,0.525,6
skincare,0.325,0
soap,0.325,0
ether,0.325,0
benefit.6,0.3575,2
concurrently,0.355,2
lauryl,0.325,0
sle,0.325,0
https://www.testing.com/tests/testosterone/,0.45,6
womenshealth.gov,0.44,6
j.yhbeh.2011.01.009,0.525,6
crown,0.46,0
widen,0.46,0
shaped,0.46,0
forehead,0.46,0
nicotine,0.33,3
trickle,0.33,3
daunt,0.36,0
firsthand,0.365,0
rodriguez,0.525,6
wisdom,0.525,6
letrozole,0.445,0
testolactone,0.445,0
crank,0.3525,1
mentor,0.335,1
karlye,0.525,6
prince,0.525,6
apprehensive,0.3375,3
audible,0.3375,3
beast,0.405,1
gascon,0.405,1
perpetuate,0.4625,7
pornography,0.4625,7
rethink,0.4625,7
viewing,0.4625,7
mushroom,0.4625,7
engelman,0.525,6
tyler,0.525,6
ontreatment,0.33,2
testosteroneto,0.3275,2
"potential.37,38",0.43,2
coneeny,0.525,6
shannon,0.525,6
manliness,0.33,4
technically,0.33,4
kettle,0.325,3
painless,0.33,3
conceiving,0.265,0
monitored,0.32,1
subfertility,0.3875,0
daviau,0.525,6
meagan,0.525,6
dehydrate,0.405,1
incessantly,0.405,1
brush,0.2925,3
blanket,0.49,0
overtreat,0.49,0
vomit,0.405,1
lester,0.2725,5
sue,0.2725,5
julie,0.27,5
spritzer,0.525,6
drip,0.405,1
combined,0.2325,4
proudly,0.2325,4
professionalism,0.2325,4
superior,0.24,4
concerningly,0.34,3
levels.41,0.34,3
indeterminant,0.34,3
pmc4154787,0.525,6
neonatal,0.4275,0
neuropsychiatric,0.4375,0
gestational,0.4375,0
integrated,0.25,4
med.0000000000000086,0.525,6
obe,0.525,6
diabetes.wang,0.5225,6
jackson,0.5225,6
deadline,0.2875,1
newlywed,0.4075,1
eld,0.3525,5
stanford,0.3525,5
potency,0.255,4
purity,0.245,4
curr,0.525,6
carolina,0.37,5
clock,0.3675,5
eje-11,0.525,6
pmc3188848,0.525,6
abdulmage,0.525,6
nov;165(5):675,0.525,6
gooren,0.525,6
saad,0.525,6
zafalon,0.525,6
facs,0.3525,5
marshall,0.3525,5
pmc4744737,0.525,6
startedsource,0.525,6
oby.21092,0.525,6
downregulation,0.4525,0
unsustainable,0.4525,0
historical,0.3375,3
teaching,0.3375,3
biology,0.3375,3
spring,0.525,6
fella,0.37,4
frisky,0.37,4
hypersensitivity,0.3425,2
include:5,0.3425,2
yang,0.3025,4
yin,0.3025,4
prudent,0.335,3
reset,0.4575,0
rewarding,0.4575,0
bicker,0.405,1
kiss,0.405,1
wink,0.405,1
alert,0.405,1
spoiler,0.405,1
mojo,0.405,1
christopher,0.1775,0
runz,0.1775,0
ong,0.525,6
ken,0.525,6
therapy.5,0.335,3
nehra,0.5225,6
g.diabetes,0.5225,6
yoav,0.525,6
ben‐shlomo,0.525,6
kuh,0.525,6
bodybuilde,0.37,1
nonmedical,0.36,1
localize,0.345,2
mortality.56,0.345,2
cumbria,0.3675,5
violence,0.3675,5
charity,0.3675,5
workington,0.3675,5
muniz,0.525,6
diana,0.525,6
fecal,0.4425,8
guaiac,0.4425,8
occult,0.4425,8
immunochemical,0.4425,8
necessitate,0.3775,2
skew,0.3775,2
graciela,0.525,6
dopaminergic,0.4375,0
serotonergic,0.42,0
rebecca,0.525,6
hardy,0.525,6
gfobt,0.4425,8
adams,0.525,6
stool,0.4425,8
sdna,0.4425,8
targeted,0.4425,8
judith,0.525,6
placebo.29,0.35,3
rtcs,0.35,3
lashen,0.525,6
imagine,0.4,0
seesaw,0.4,0
excitatory,0.4,0
cloud,0.2975,2
pharmacology,0.305,2
volume.61,0.35,3
keevil,0.525,6
hany,0.525,6
colonoscopy,0.4425,8
colonography,0.4425,8
void,0.3575,3
genius,0.385,1
cash,0.405,1
obscene,0.405,1
brian,0.525,6
sigmoidoscopy,0.4425,8
fsig,0.4425,8
dc10,0.5225,6
facility,0.405,1
bann,0.525,6
bust,0.405,1
edition,0.405,1
detrusor,0.34,2
"function.59,60,62,63",0.34,2
pleasant,0.4525,0
unintended,0.4525,0
a1c,0.355,3
deceased,0.345,3
amygdala,0.3225,4
aversion,0.3225,4
mortality.67,0.37,3
bradley,0.295,5
whack,0.245,5
fuzz,0.4175,0
tuft,0.375,0
frontal,0.4525,0
striatum,0.4525,0
thalamus,0.4525,0
hippocampus,0.4525,0
cerebellum,0.4525,0
critter,0.405,1
microbiome,0.405,1
charming,0.375,0
e241,0.3425,3
sig-,0.3425,3
"death.70,71",0.3425,3
methodological,0.3425,3
nificant,0.3425,3
gastroenterologist,0.4425,8
digest,0.3025,4
evolutionarily,0.3025,4
jul;34(7):1669,0.5225,6
dirty,0.405,1
steroidal,0.405,1
"events.72,73",0.34,3
garner,0.34,3
sardine,0.675,7
loosely,0.38,0
pleasanton,0.1725,0
propensity,0.3725,2
weighting,0.375,2
latanoprost,0.4575,0
prostaglandin,0.4575,0
ste,0.1725,0
behav,0.525,6
horm,0.525,6
rationale,0.3725,4
ray,0.31,9
misunderstand,0.445,0
pfs,0.4625,0
ncic,0.3675,5
position,0.33,3
eisenberg,0.3525,5
landing,0.37,5
reimbursement,0.2975,2
iodine,0.4475,0
jar,0.325,3
plunger,0.33,3
agonist,0.4425,0
gram,0.6775,7
https://www.endocrine.org/patient-engagement/endocrine-library/hypogonadism,0.4975,6
jan,0.49,6
cancerous,0.3075,0
polyp,0.2575,1
dead,0.405,1
rechecke,0.405,1
sachet,0.33,3
dehydration,0.315,1
versabase,0.33,3
gip,0.395,0
glp-1,0.435,0
proceed,0.35,1
residency,0.275,0
extrusion,0.33,3
regulated,0.4475,0
eyebrow,0.35,0
dear,0.405,1
midwest,0.405,1
duplication,0.37,5
inc,0.37,5
helped,0.43,0
shgb,0.3275,0
pomegranate,0.6775,7
snoring,0.3875,0
activation,0.44,0
wildly,0.41,0
bipolar,0.41,7
uptake,0.33,3
miami,0.275,5
nitric,0.2475,0
oxide,0.2475,0
second,0.33,3
journalist,0.275,5
associated,0.32,0
livery,0.33,3
calgary,0.375,5
dalhousie,0.375,5
halifax,0.375,5
winnipeg,0.375,5
pfizer,0.36,5
comorbid,0.3425,3
reassessment,0.4475,0
manitoba,0.375,5
curvature,0.3325,3
disclosure,0.3375,2
remuneration,0.335,3
clever,0.185,0
tinker,0.355,1
prediman,0.31,5
shah,0.31,5
khurram,0.2225,4
methodist,0.2175,4
exceptionally,0.3025,3
doi:10.1210,0.52,6
project,0.2825,5
reuse,0.32,3
sleeping,0.3875,1
fragile,0.305,0
pertinent,0.405,0
inadvertent,0.33,3
transmission,0.33,3
chemically,0.4475,0
placenta,0.4525,0
inactivity,0.39,0
subtler,0.2975,1
strategy.420,0.33,3
substitution,0.525,6
manuscript,0.525,6
complementary,0.2675,4
rheumatic,0.2875,4
axiron,0.33,3
custom,0.33,3
grapple,0.225,4
indicative,0.2775,0
frontier,0.5225,6
frailty,0.345,4
rat,0.5225,6
ice,0.3,4
precede,0.2675,2
salonia,0.365,3
aleksandr,0.27,5
belakovskiy,0.2475,5
resident,0.2275,3
freely,0.3125,1
stat,0.2,1
split,0.2875,1
manageable,0.335,0
gelatinous,0.33,3
microporous,0.33,3
encounter,0.3775,4
mar,0.525,6
december,0.51,6
mba,0.365,5
uab,0.3625,5
messaging,0.29,4
productivity,0.295,4
principal,0.3725,5
membrane,0.33,3
ehrmann,0.455,6
legro,0.4525,6
wei,0.455,6
constricted,0.3425,4
weakened,0.3825,4
https://www.ncbi.nlm.nih.gov/pubmed/28434676,0.5225,6
pencina,0.5225,6
k.m,0.5225,6
adjudicate,0.34,3
definite,0.34,3
abbreviation,0.36,3
disclaimer,0.345,1
cosmetic,0.2375,4
mixture,0.33,3
coarse,0.445,0
sideburn,0.45,0
lincoff,0.5225,6
clog,0.325,0
isidori,0.525,6
moisturizing,0.33,3
experimental,0.2325,1
investigational,0.3275,5
versatile,0.67,7
https://www.clinicalkey.com,0.52,6
bar,0.405,1
stretch,0.3325,3
lip,0.33,3
raymond,0.145,5
turley,0.145,5
jayasena,0.5225,6
c.n,0.5225,6
emboli,0.29,2
numerical,0.285,2
moustache,0.4475,0
discreetly,0.32,3
systemic,0.3275,3
variably,0.33,3
dairy,0.6775,7
equipment,0.3725,2
revolutionary,0.2275,5
confidential,0.25,2
ship,0.3475,3
bleeding,0.33,3
hidden,0.445,1
eaif,0.405,1
terrible,0.405,1
hydro,0.33,3
solubilize,0.33,3
peripheral,0.2325,2
utilisation,0.375,4
habitus,0.375,4
pore,0.245,6
france,0.5225,6
basaria,0.525,6
announce,0.355,3
box,0.3575,3
actuality,0.4425,0
polygenic,0.445,0
pharmacother,0.525,6
eugonadal,0.3525,3
testosterone.5,0.3625,3
overnight,0.38,4
recalibrate,0.245,4
buckle,0.33,3
agency,0.345,3
drugmaker,0.3525,3
sleeve,0.305,3
teenager,0.4475,0
independently,0.3575,3
liability,0.31,5
11division,0.375,5
mcgill,0.375,5
ontario,0.375,5
london,0.375,5
montreal,0.375,5
concentrated,0.3275,5
predominately,0.375,4
dressing,0.29,3
collaboratively,0.4275,2
exciting,0.4175,2
10division,0.375,5
redness,0.33,3
dilate,0.2825,4
12department,0.375,5
pile,0.4075,1
weekend,0.405,1
matrix,0.33,3
landmark,0.29,5
osteopenia,0.455,0
aga,0.46,0
androgenetic,0.46,0
equally,0.34,3
uncertainty,0.3375,3
breastfeed,0.445,0
adjunct,0.4475,0
recombinant,0.4475,0
deter,0.2825,2
lived,0.275,2
minhas,0.5225,6
soften,0.3275,3
bot,0.23,9
chapter,0.23,0
blah,0.405,1
bunch,0.405,1
misdiagnosis,0.35,2
unnecessary,0.325,2
f.c,0.5225,6
endorsement,0.37,5
jam,0.35,4
musculature,0.3975,0
diarrhea,0.4475,0
grave,0.4475,0
coolidge,0.5225,6
melish,0.4475,0
coffee,0.2375,3
celebrity,0.195,2
noncancerous,0.4575,0
repeatedly,0.4575,0
indulge,0.3875,7
lateral,0.33,3
wall,0.3775,4
responsive,0.365,5
appetite,0.3775,4
california,0.37,5
northwestern,0.3725,5
emily,0.5225,6
"life.5,12",0.3575,3
widespread,0.3525,3
harbor,0.3725,5
ryan,0.36,5
walloping,0.405,1
interchangeably,0.275,2
signify,0.2775,3
heating,0.4475,0
thermostat,0.4475,0
hypothalmus,0.4475,0
boiler,0.4475,0
comply,0.435,2
ungrade,0.47,2
adherence,0.335,3
"recommendation).5,6",0.3525,3
saint,0.37,5
epub,0.525,6
dementia,0.41,4
immensely,0.38,4
evoke,0.32,0
loud,0.385,0
speech,0.34,4
survivor,0.3625,5
subsequently,0.3025,3
normalisation,0.2,4
resume,0.2325,4
translational,0.3725,5
geriatric,0.37,5
pittsburgh,0.3725,5
deduplication,0.3375,3
title,0.415,8
50s+,0.455,0
distribute,0.3275,5
alarming,0.3125,0
smoker,0.3675,0
hage,0.3725,5
colorful,0.6775,7
eggs,0.6775,7
seafood,0.6775,7
elderly,0.31,5
700s,0.405,1
roof,0.405,1
drug.430,0.33,3
expose,0.33,3
glass,0.6775,7
childbirth,0.2275,4
otolaryngology,0.2425,4
discount,0.405,1
anxious,0.3775,4
pastry,0.6775,7
sweeten,0.6775,7
outlandish,0.3425,0
stake,0.2675,0
enlarging,0.4575,0
descend,0.4475,0
risky,0.235,4
declaration,0.38,2
hazard,0.2775,4
focused,0.405,1
vibrator,0.405,1
heartbeat,0.3775,4
fried,0.6775,7
meat,0.6775,7
handle,0.3775,0
precision,0.3325,2
integrity,0.375,0
eugster,0.52,6
haddad,0.52,6
jul,0.525,6
neural,0.3025,4
sympathetic,0.3025,4
virility,0.46,7
multicenter,0.3725,2
sigh,0.3375,3
gainswave,0.3525,4
yep,0.405,1
wladek,0.37,5
clevelandclinic.org/loveyourheartpodcast,0.4075,1
heart@ccf.org,0.4125,1
exclusive,0.3775,4
unsettling,0.3775,4
balding,0.445,0
recede,0.445,0
hairline,0.445,0
degroot,0.52,6
derive,0.3375,3
priori,0.3525,3
certification,0.235,2
graduate,0.3475,5
grip,0.345,3
hypercholesterolemia,0.2925,2
pleased,0.23,2
observed,0.395,2
hygiene,0.415,8
predictor,0.3425,3
cardiometabolic,0.34,3
tracker,0.405,1
d.c.—has,0.2175,3
regional,0.2925,5
marked,0.205,4
aka,0.395,1
paralimbic,0.4225,0
interestingly,0.275,5
deactivation,0.33,3
enforce,0.37,3
reflective,0.3525,3
inferiority,0.38,2
silicone,0.33,3
offering,0.395,1
privately,0.3825,0
mediterranean,0.6725,7
plant,0.6725,7
salmon,0.6775,7
manly,0.405,1
commencing,0.4075,2
formal,0.4075,2
pen,0.33,3
scientifically,0.405,1
scanning,0.44,0
leverage,0.37,3
representative,0.3675,3
furthermore,0.3575,2
societal,0.255,4
melatonin,0.2825,0
nightly,0.3,0
campus,0.3725,5
usa,0.3725,5
msc,0.5025,6
material,0.3475,3
pooled,0.3425,3
hand-,0.3325,3
hollow,0.3325,3
inflatable,0.33,3
prosthetic,0.33,3
award,0.375,5
mountain,0.3275,5
openly,0.405,1
visibly,0.405,1
bend,0.3325,3
elder,0.295,0
hematology,0.295,0
hospice,0.295,0
prominent,0.3275,1
truth,0.255,7
discontinuation,0.3525,3
daniel,0.36,5
deny,0.275,2
lee,0.36,5
depo,0.33,3
xyosted,0.33,3
straighten,0.3325,3
upward,0.3325,3
intra,0.37,2
operator,0.37,2
foundational,0.295,4
passive,0.2825,4
ambiguous,0.45,0
underdeveloped,0.4475,0
carbohydrate,0.6775,7
smoother,0.405,1
mbchb,0.37,5
transformative,0.215,5
trusted,0.2025,5
microprocessor,0.4475,0
patel,0.36,5
holmes,0.36,5
appraisal,0.52,6
rigorous,0.51,6
rigorously,0.345,3
nestle,0.36,5
advisory,0.36,5
contaminate,0.4025,1
strike,0.405,1
endure,0.3275,3
shorter,0.335,2
monograph,0.33,3
delatestryl,0.33,3
andriol,0.33,3
cavity,0.33,3
puttylike,0.33,3
hypothyroid,0.295,2
concierge,0.295,2
chip,0.6775,7
anesthetic,0.3375,4
sensation,0.35,0
biochemically,0.4525,0
confuse,0.435,0
stigma,0.4025,1
justin,0.27,0
saya,0.245,0
nicole,0.39,4
predominant,0.2475,4
continually,0.2175,4
binge,0.665,7
grapeseed,0.33,3
behavioral,0.2825,5
instruct,0.315,4
apology,0.405,1
incorrectly,0.405,1
krakowsky,0.36,5
aldosterone,0.46,0
addison,0.4475,0
identical,0.37,2
hypoparathyroidism,0.4475,0
synthesise,0.4475,0
gynecological,0.2925,0
botox,0.3175,4
jeauveau,0.3175,4
microneedling,0.32,4
depotestosterone,0.33,3
onboarde,0.3375,2
secure,0.21,3
horny,0.3975,1
tinkering,0.39,1
crazy,0.405,1
disappear,0.3975,1
parathyroid,0.4475,0
downstream,0.42,0
gaba,0.3175,0
blunting,0.3725,4
pause,0.3875,0
cac,0.3225,3
guesswork,0.3225,3
preparations.441,0.355,2
fundamentally,0.415,0
comparative,0.365,2
ecdysterone,0.5625,7
nitrate,0.335,7
kryptonite,0.405,1
superman,0.405,1
medicated,0.33,3
muse,0.33,3
sermorelin,0.19,5
gather,0.3325,3
incentive,0.445,0
tough,0.405,1
downplay,0.445,0
english,0.36,5
coloplast,0.36,5
differentiation,0.44,0
dismiss,0.315,4
dutasteride,0.42,0
mesotherapy,0.3425,0
observation,0.38,1
elasticity,0.3725,4
summarize,0.3375,2
"therapy.28,29",0.3825,4
biliary,0.2975,0
pancreatic,0.2975,0
thrombosis,0.2925,2
cautiously,0.3025,2
fire,0.33,3
flammable,0.33,3
hobby,0.405,1
impart,0.3325,2
inherent,0.335,2
confusion,0.3375,2
generalize,0.3425,3
vote,0.2875,5
virginia,0.32,5
snowie,0.355,3
unsure,0.32,4
healing,0.32,4
resilient,0.3075,4
better,0.405,1
copay,0.405,1
creation,0.3775,3
solicit,0.375,3
metropolitan,0.365,5
deodorant,0.33,3
dispense,0.33,3
opening,0.33,3
twist,0.33,3
geography,0.34,3
ball,0.33,3
fad,0.405,1
lifetime,0.3925,1
philosophy,0.405,1
retrospect,0.405,1
podcaster,0.3575,4
dial,0.33,3
topi,0.33,3
interdisciplinary,0.3675,5
overtax,0.37,5
longstanding,0.2275,2
theory,0.51,6
credential,0.355,2
robotic,0.3,4
vinci,0.3025,4
pharmacological,0.525,6
imitate,0.4575,0
voter,0.26,5
motion,0.3525,0
motivate,0.36,4
oregon,0.22,4
portland,0.295,4
4636(4men,0.3625,5
leafy,0.6775,7
dynamic,0.315,2
marketplace,0.33,2
unfavorable,0.275,4
surgeon,0.2925,1
criteria.411,0.3475,3
medlineplus,0.36,5
jealous,0.405,1
whatnot,0.405,1
indirectly,0.4575,0
utilization,0.4575,0
merely,0.2225,4
neighbor,0.405,1
obligate,0.405,1
biologic,0.5125,6
equip,0.2575,3
epo,0.455,0
erythropoietin,0.455,0
sculpt,0.365,4
simultaneously,0.36,4
pivotal,0.3775,4
reserve,0.445,4
lifting,0.3575,1
sizeable,0.305,2
predictability,0.2625,0
motional,0.405,1
weird,0.405,1
contraindicate,0.4475,0
inhibition,0.4475,0
lifeblood,0.45,0
miserable,0.3925,1
reliance,0.3775,4
multitude,0.3025,0
evolution,0.235,5
clue,0.1775,3
ramification,0.2375,0
louisiana,0.2925,5
rip,0.405,1
alexandria,0.225,5
brown,0.6775,7
exhaustion,0.2725,4
asymptomatic,0.3525,3
2023a,0.3475,4
nov,0.345,0
gumline,0.33,3
deleterious,0.3525,3
resultant,0.3525,3
intermittent,0.3675,4
panic,0.455,0
street,0.37,5
premise,0.405,1
transformation,0.36,1
periodically,0.375,3
clevelandclinic.org/cardiacconsultpodcast,0.4075,1
chicken,0.6775,7
coverage,0.3125,0
tolerability,0.405,2
trace,0.33,3
unwashe,0.33,3
prize,0.3275,3
exertion,0.3725,4
faced,0.365,4
brilliant,0.405,1
panacea,0.405,1
lengthy,0.355,2
restrictive,0.3525,2
smsna,0.36,5
press,0.355,3
syrinx,0.33,3
defer,0.275,2
gps,0.3025,2
enjoyable,0.34,4
vibrant,0.3425,4
thick,0.35,4
extract,0.33,3
methodologist,0.3375,3
rubber,0.33,3
preventable,0.39,1
sight,0.3975,1
unintentional,0.395,1
proprietary,0.33,3
straight,0.4025,1
creatinine,0.3475,0
gamma,0.3475,0
bilirubin,0.3475,0
glutamyltransferase,0.3475,0
nocturia,0.46,0
urinate,0.4625,0
climacteric,0.21,10
pp.15,0.21,10
thoughtful,0.29,0
elastic,0.33,3
slip,0.2775,1
alkaline,0.3475,0
description,0.395,1
glomerular,0.3475,0
river,0.3575,5
filtration,0.3475,0
amp,0.33,3
brito,0.5225,6
healthdirect,0.37,0
victoria,0.3275,0
fixate,0.3225,2
mucosa,0.33,3
summer,0.405,1
famous,0.6575,7
angina,0.4575,0
blocker,0.46,0
believer,0.35,3
ethos,0.39,1
appreciative,0.405,1
prader,0.4475,0
willi,0.4475,0
pine,0.205,6
insertion.446,0.32,3
flexible,0.4425,8
disclose,0.405,1
aspartate,0.3475,0
urgency,0.4625,0
firmness,0.3375,3
urethral,0.33,3
balk,0.405,1
institutional,0.365,2
therapeutic.446,0.3825,2
northeast,0.405,1
alanine,0.3475,0
aminotransferase,0.3475,0
phosphatase,0.3475,0
bibliography/,0.3525,3
